segment,r_with_finish
Sled Push,0.505329897585916
Farmers Carry,0.6200038056582003
SkiErg,0.6530250096193959
Sled Pull,0.6929376686551231
Roxzone,0.7103604872319258
Wall Balls,0.7238748073821767
Row,0.7385725441599562
Lunges,0.7679655444174901
Burpee Jumps,0.8119109199586237
Running,0.9118638529921868
