race_no,pb_rate,n
2,0.5640476794319046,98575
3,0.412597030233805,42899
4,0.3301493340508543,22299
5,0.27815394194100707,12849
6,0.23686186186186187,7992
7,0.2100808726725597,5317
8,0.1802277145237434,3601
9,0.18472330475448168,2566
10,0.13939720129171151,1858
11,0.1430646332607117,1377
