race_no,med,q25,q75,n
1,0.0,0.0,0.0,322788
2,-1.2833333333333332,-6.883333333333333,4.4,98575
3,-2.283333333333333,-8.066666666666666,3.3333333333333335,42899
4,-3.05,-9.1,2.5666666666666664,22299
5,-3.6333333333333333,-9.9,2.05,12849
6,-3.9833333333333334,-10.116666666666667,1.6,7992
7,-4.316666666666666,-10.366666666666667,1.2666666666666666,5317
8,-4.55,-10.216666666666667,1.2666666666666666,3601
